File Path,Keyword,Hits
"C:\Users\vian_\Desktop\Folders\Projects\McAfee Project\Task 11//test_data\AF\369E.txt","[0-2]{1}[0-9]{1}/[0-1]{1}[0-9]{1}/[0-9]{4}",1
"C:\Users\vian_\Desktop\Folders\Projects\McAfee Project\Task 11//test_data\AF\369E.txt","[0-2]{1}[0-9]{1}/[0-1]{1}[0-9]{1}/[0-9]{2}",1
"C:\Users\vian_\Desktop\Folders\Projects\McAfee Project\Task 11//test_data\AF\AD\AF\BC6F.txt","[0-3]{1}[0-1]{1}/[0-1]{1}[0-9]{1}/[0-9]{4}",1
"C:\Users\vian_\Desktop\Folders\Projects\McAfee Project\Task 11//test_data\AF\AD\AF\BC6F.txt","[0-2]{1}[0-9]{1}/[0-1]{1}[0-9]{1}/[0-9]{4}",1
"C:\Users\vian_\Desktop\Folders\Projects\McAfee Project\Task 11//test_data\AF\AD\AF\BC6F.txt","[0-3]{1}[0-1]{1}/[0-1]{1}[0-9]{1}/[0-9]{2}",1
"C:\Users\vian_\Desktop\Folders\Projects\McAfee Project\Task 11//test_data\AF\AD\AF\BC6F.txt","[0-2]{1}[0-9]{1}/[0-1]{1}[0-9]{1}/[0-9]{2}",1
"C:\Users\vian_\Desktop\Folders\Projects\McAfee Project\Task 11//test_data\AF\AE\AE\0501.txt","[0-2]{1}[0-9]{1}/[0-1]{1}[0-9]{1}/[0-9]{4}",1
"C:\Users\vian_\Desktop\Folders\Projects\McAfee Project\Task 11//test_data\AF\AE\AE\0501.txt","[0-2]{1}[0-9]{1}/[0-1]{1}[0-9]{1}/[0-9]{2}",1
"C:\Users\vian_\Desktop\Folders\Projects\McAfee Project\Task 11//test_data\AF\BE\C397.txt","[0-2]{1}[0-9]{1}/[0-1]{1}[0-9]{1}/[0-9]{4}",1
"C:\Users\vian_\Desktop\Folders\Projects\McAfee Project\Task 11//test_data\AF\BE\C397.txt","[0-2]{1}[0-9]{1}/[0-1]{1}[0-9]{1}/[0-9]{2}",1
"C:\Users\vian_\Desktop\Folders\Projects\McAfee Project\Task 11//test_data\AF\CD\B598.txt","[0-3]{1}[0-1]{1}/[0-1]{1}[0-9]{1}/[0-9]{4}",1
"C:\Users\vian_\Desktop\Folders\Projects\McAfee Project\Task 11//test_data\AF\CD\B598.txt","[0-3]{1}[0-1]{1}/[0-1]{1}[0-9]{1}/[0-9]{2}",1
"C:\Users\vian_\Desktop\Folders\Projects\McAfee Project\Task 11//test_data\AF\D151.txt","[0-3]{1}[0-1]{1}/[0-1]{1}[0-9]{1}/[0-9]{4}",1
"C:\Users\vian_\Desktop\Folders\Projects\McAfee Project\Task 11//test_data\AF\D151.txt","[0-2]{1}[0-9]{1}/[0-1]{1}[0-9]{1}/[0-9]{4}",1
"C:\Users\vian_\Desktop\Folders\Projects\McAfee Project\Task 11//test_data\AF\D151.txt","[0-3]{1}[0-1]{1}/[0-1]{1}[0-9]{1}/[0-9]{2}",1
"C:\Users\vian_\Desktop\Folders\Projects\McAfee Project\Task 11//test_data\AF\D151.txt","[0-2]{1}[0-9]{1}/[0-1]{1}[0-9]{1}/[0-9]{2}",1
"C:\Users\vian_\Desktop\Folders\Projects\McAfee Project\Task 11//test_data\BD\BE\BCAE.txt","[0-2]{1}[0-9]{1}/[0-1]{1}[0-9]{1}/[0-9]{4}",1
"C:\Users\vian_\Desktop\Folders\Projects\McAfee Project\Task 11//test_data\BD\BE\BCAE.txt","[0-2]{1}[0-9]{1}/[0-1]{1}[0-9]{1}/[0-9]{2}",1
"C:\Users\vian_\Desktop\Folders\Projects\McAfee Project\Task 11//test_data\BD\CD\AC35.txt","[0-2]{1}[0-9]{1}/[0-1]{1}[0-9]{1}/[0-9]{2}",1
"C:\Users\vian_\Desktop\Folders\Projects\McAfee Project\Task 11//test_data\BF\CE\8DE6.txt","[0-2]{1}[0-9]{1}/[0-1]{1}[0-9]{1}/[0-9]{2}",1
"C:\Users\vian_\Desktop\Folders\Projects\McAfee Project\Task 11//test_data\BF\CF\CD\BE\197A.txt","[0-3]{1}[0-1]{1}/[0-1]{1}[0-9]{1}/[0-9]{4}",1
"C:\Users\vian_\Desktop\Folders\Projects\McAfee Project\Task 11//test_data\BF\CF\CD\BE\197A.txt","[0-3]{1}[0-1]{1}/[0-1]{1}[0-9]{1}/[0-9]{2}",1
"C:\Users\vian_\Desktop\Folders\Projects\McAfee Project\Task 11//test_data\CD\CD\BF\AF\9E88.txt","[0-2]{1}[0-9]{1}/[0-1]{1}[0-9]{1}/[0-9]{4}",1
"C:\Users\vian_\Desktop\Folders\Projects\McAfee Project\Task 11//test_data\CD\CD\BF\AF\9E88.txt","[0-2]{1}[0-9]{1}/[0-1]{1}[0-9]{1}/[0-9]{2}",1
"C:\Users\vian_\Desktop\Folders\Projects\McAfee Project\Task 11//test_data\CE\AD\BD\AD\D893.txt","[0-2]{1}[0-9]{1}/[0-1]{1}[0-9]{1}/[0-9]{4}",1
"C:\Users\vian_\Desktop\Folders\Projects\McAfee Project\Task 11//test_data\CE\AD\BD\AD\D893.txt","[0-2]{1}[0-9]{1}/[0-1]{1}[0-9]{1}/[0-9]{2}",1
"C:\Users\vian_\Desktop\Folders\Projects\McAfee Project\Task 11//test_data\CE\BD\BE\CF\F430.txt","[0-2]{1}[0-9]{1}/[0-1]{1}[0-9]{1}/[0-9]{2}",1
